codigo;nome;documento;fone;celular;email;rua;bairro;complemento;numero;cidade;estado
145;Amber J. Bond;1606031537399;(83) 7631-2569;(88) 4875-2296;aliquet.metus@augueac.co.uk;426 Magna. St.;;U3H 7E5;245;Diadema;São Paulo
146;Heidi K. Jennings;1688102221499;(26) 7259-7556;(38) 4578-3830;lectus.rutrum@Duis.net;785-775 Egestas. Ave;;T9S 4E2;672;Belford Roxo;RJ
147;Mannix Z. Daugherty;1615070629599;(48) 5182-7835;(10) 7582-9658;Nulla@placerat.edu;269-2857 In, Ave;;E2A 4W8;693;Gravataí;RS
148;Jael X. Dominguez;1630011997199;(81) 8023-8104;(97) 5271-5600;odio.tristique.pharetra@ante.net;194-791 Felis. St.;;K4E 4T3;185;Castanhal;Pará
149;Melodie C. Fox;1612011508899;(13) 6749-9066;(10) 2369-4718;non@Quisqueornare.edu;864-9048 Fusce Av.;;B3H 6W1;557;Criciúma;SC
150;Tashya S. Richard;1603011415499;2499-3771;(21) 9647-8397;bibendum@hendreritidante.org;Ap #553-4911 Arcu. Rd.;;W9T 2F5;529;Londrina;Paraná
151;Deirdre D. Forbes;1686111389699;(86) 6819-7625;(24) 8773-0960;leo@lobortistellus.co.uk;643-5363 Ut Rd.;;Q4T 0C1;162;São José;SC
152;Joel Z. Drake;1617090580299;(53) 3269-2267;(88) 8119-1354;tempor@ipsumDonecsollicitudin.edu;P.O. Box 241, 360 Nullam Rd.;;K3U 6M2;342;Juazeiro;BA
153;Dean B. Crosby;;(67) 3697-8022;(67) 3416-4083;euismod.et@turpisegestas.co.uk;Ap #543-4478 Magna. Rd.;;B3E 9Z0;233;Campinas;São Paulo
154;Jacqueline Z. Dalton;1607121560899;(81) 8410-8631;(09) 6957-7900;augue.Sed@etrutrumeu.net;464 Hendrerit Avenue;;X8Q 1T7;629;São José;Santa Catarina
155;Deborah B. Byrd;1659041021099;(77) 9999-0417;(84) 1505-8171;Curabitur.egestas.nunc@nonenim.org;701-3570 Ac, St.;;Q7S 2S8;267;Cametá;Pará
156;Sigourney A. Woodard;1610020123199;(09) 5619-6238;(71) 5564-3791;risus.odio@posuerecubilia.edu;P.O. Box 833, 234 Class Street;;V4H 9A4;108;Colombo;PR
157;Kathleen F. Patterson;1610120670799;(98) 5052-8950;(07) 9287-0725;Nunc.mauris.sapien@augue.edu;P.O. Box 534, 7602 Sed Ave;;V5P 2B6;132;Contagem;MG
158;Signe F. Lang;1657021978699;(54) 9056-8446;(59) 6784-7802;rutrum.magna@condimentumDonec.co.uk;2254 Curae Street;;Z8D 2Z1;284;Cascavel;PR
159;Boris G. Tate;1625042148399;(35) 1629-6280;(32) 2829-6292;tellus@pharetrafelis.co.uk;P.O. Box 181, 4353 Ut St.;;G3H 8Q1;77;Itabuna;BA
